tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",METTL3,56339,89,0,0.0,1,0.011235955056179775,27,0.30337078651685395,17,0.19101123595505617,0,0.0,45,0.5056179775280899,45,0.5056179775280899,0,45,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",METTL14,57721,89,1,0.011235955056179775,0,0.0,37,0.4157303370786517,11,0.12359550561797752,0,0.0,48,0.5393258426966292,48,0.5393258426966292,0,47,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",METTL16,79066,89,0,0.0,0,0.0,8,0.0898876404494382,33,0.3707865168539326,2,0.02247191011235955,43,0.48314606741573035,43,0.48314606741573035,0,43,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",WTAP,9589,89,1,0.011235955056179775,2,0.02247191011235955,15,0.16853932584269662,17,0.19101123595505617,0,0.0,34,0.38202247191011235,34,0.38202247191011235,0,33,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",VIRMA,25962,89,1,0.011235955056179775,0,0.0,39,0.43820224719101125,11,0.12359550561797752,0,0.0,50,0.5617977528089888,50,0.5617977528089888,0,49,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",ZC3H13,23091,89,1,0.011235955056179775,1,0.011235955056179775,6,0.06741573033707865,39,0.43820224719101125,0,0.0,46,0.5168539325842697,47,0.5280898876404494,1,46,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",RBM15,64783,89,1,0.011235955056179775,1,0.011235955056179775,2,0.02247191011235955,30,0.33707865168539325,1,0.011235955056179775,34,0.38202247191011235,35,0.39325842696629215,1,34,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",FTO,79068,89,1,0.011235955056179775,1,0.011235955056179775,48,0.5393258426966292,6,0.06741573033707865,0,0.0,55,0.6179775280898876,55,0.6179775280898876,0,54,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",ALKBH5,54890,89,0,0.0,1,0.011235955056179775,8,0.0898876404494382,26,0.29213483146067415,0,0.0,35,0.39325842696629215,35,0.39325842696629215,0,35,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",YTHDF1,54915,89,1,0.011235955056179775,1,0.011235955056179775,51,0.5730337078651685,5,0.056179775280898875,0,0.0,57,0.6404494382022472,57,0.6404494382022472,0,56,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",YTHDF2,51441,89,0,0.0,0,0.0,4,0.0449438202247191,34,0.38202247191011235,0,0.0,38,0.42696629213483145,38,0.42696629213483145,0,38,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",YTHDF3,253943,89,2,0.02247191011235955,0,0.0,37,0.4157303370786517,12,0.1348314606741573,0,0.0,49,0.550561797752809,49,0.550561797752809,0,47,2
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",YTHDC1,91746,89,0,0.0,0,0.0,37,0.4157303370786517,8,0.0898876404494382,0,0.0,45,0.5056179775280899,45,0.5056179775280899,0,45,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",YTHDC2,64848,89,1,0.011235955056179775,2,0.02247191011235955,57,0.6404494382022472,3,0.033707865168539325,0,0.0,62,0.6966292134831461,63,0.7078651685393258,1,62,0
