geneSymbol,ACC,BLCA,BRCA,CESC,CHOL,COADREAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
METTL3,0.5056179775280899,0.4987714987714988,0.4068441064638783,0.2682926829268293,0.4166666666666667,0.42293233082706766,0.07317073170731707,0.5714285714285714,0.35789473684210527,0.4381139489194499,0.3384615384615385,0.4475,0.1956521739130435,0.020942408376963352,0.16046966731898238,0.32132963988919666,0.5264187866927593,0.640495867768595,0.45348837209302323,0.5362035225048923,0.2808988764044944,0.15527950310559005,0.09406952965235174,0.5059288537549407,0.4380165289256198,0.37327188940092165,0.47651006711409394,0.024640657084188913,0.13008130081300814,0.25048923679060664,0.7142857142857143,0.05
METTL14,0.5393258426966292,0.47174447174447176,0.3935361216730038,0.41114982578397213,0.5277777777777778,0.39285714285714285,0.12195121951219512,0.6208791208791209,0.17894736842105263,0.40078585461689586,0.35384615384615387,0.185,0.14130434782608695,0.03664921465968586,0.22113502935420742,0.4626038781163435,0.4227005870841487,0.6673553719008265,0.45348837209302323,0.7573385518590998,0.21910112359550563,0.09316770186335403,0.11860940695296524,0.4189723320158103,0.39669421487603307,0.43317972350230416,0.7315436241610739,0.014373716632443531,0.06504065040650407,0.2602739726027397,0.75,0.1
METTL16,0.48314606741573035,0.6117936117936118,0.6482889733840305,0.4181184668989547,0.4166666666666667,0.6259398496240601,0.3170731707317073,0.6098901098901099,0.22105263157894736,0.3654223968565815,0.7538461538461538,0.1525,0.644927536231884,0.07853403141361257,0.08414872798434442,0.6260387811634349,0.6223091976516634,0.7396694214876033,0.3372093023255814,0.837573385518591,0.550561797752809,0.39751552795031053,0.20040899795501022,0.5889328063241107,0.47107438016528924,0.45852534562211983,0.5503355704697986,0.043121149897330596,0.13008130081300814,0.30332681017612523,0.7857142857142857,0.1375
WTAP,0.38202247191011235,0.5577395577395577,0.467680608365019,0.4146341463414634,0.75,0.29699248120300753,0.3170731707317073,0.46703296703296704,0.3078947368421053,0.3005893909626719,0.7846153846153846,0.2975,0.12681159420289856,0.010471204188481676,0.17025440313111545,0.48753462603878117,0.5929549902152642,0.4690082644628099,0.4418604651162791,0.7651663405088063,0.5337078651685393,0.16149068322981366,0.13496932515337423,0.4308300395256917,0.6639118457300276,0.3778801843317972,0.31543624161073824,0.018480492813141684,0.17886178861788618,0.24070450097847357,0.5892857142857143,0.375
VIRMA,0.5617977528089888,0.6707616707616708,0.6387832699619772,0.4181184668989547,0.4166666666666667,0.6146616541353384,0.2682926829268293,0.7087912087912088,0.19736842105263158,0.693516699410609,0.4153846153846154,0.245,0.13405797101449277,0.12041884816753927,0.18590998043052837,0.6426592797783933,0.6340508806262231,0.6776859504132231,0.23255813953488372,0.7123287671232876,0.398876404494382,0.16149068322981366,0.3394683026584867,0.5019762845849802,0.5840220385674931,0.6774193548387096,0.8053691275167785,0.02053388090349076,0.10569105691056911,0.4383561643835616,0.8035714285714286,0.75
ZC3H13,0.5280898876404494,0.542997542997543,0.5418250950570342,0.49825783972125437,0.5555555555555556,0.6992481203007519,0.24390243902439024,0.6703296703296703,0.42105263157894735,0.5402750491159135,0.6923076923076923,0.225,0.19202898550724637,0.04712041884816754,0.2857142857142857,0.5263157894736842,0.6614481409001957,0.7747933884297521,0.5116279069767442,0.7573385518590998,0.28651685393258425,0.10559006211180125,0.48466257668711654,0.6837944664031621,0.5261707988980716,0.5368663594470046,0.7651006711409396,0.053388090349075976,0.13008130081300814,0.37573385518590996,0.8035714285714286,0.125
RBM15,0.39325842696629215,0.37346437346437344,0.4695817490494297,0.3797909407665505,0.4166666666666667,0.36654135338345867,0.12195121951219512,0.5164835164835165,0.1763157894736842,0.3143418467583497,0.8153846153846154,0.165,0.15217391304347827,0.015706806282722512,0.3933463796477495,0.37950138504155123,0.5401174168297456,0.5764462809917356,0.46511627906976744,0.49902152641878667,0.3202247191011236,0.7453416149068323,0.11042944785276074,0.391304347826087,0.46831955922865015,0.35714285714285715,0.436241610738255,0.01642710472279261,0.08943089430894309,0.2035225048923679,0.5535714285714286,0.275
FTO,0.6179775280898876,0.48157248157248156,0.7053231939163498,0.33797909407665505,0.3333333333333333,0.32894736842105265,0.2926829268292683,0.5494505494505495,0.22105263157894736,0.4027504911591356,0.38461538461538464,0.24,0.5471014492753623,0.02617801047120419,0.07632093933463796,0.4626038781163435,0.487279843444227,0.5785123966942148,0.36046511627906974,0.7436399217221135,0.20224719101123595,0.06832298136645963,0.2556237218813906,0.6007905138339921,0.44352617079889806,0.3986175115207373,0.44966442953020136,0.030800821355236138,0.12195121951219512,0.32289628180039137,0.8035714285714286,0.225
ALKBH5,0.39325842696629215,0.601965601965602,0.6169201520912547,0.4146341463414634,0.3888888888888889,0.6127819548872181,0.21951219512195122,0.6098901098901099,0.21052631578947367,0.3300589390962672,0.7538461538461538,0.14,0.644927536231884,0.07329842931937172,0.06457925636007827,0.5401662049861495,0.5909980430528375,0.7086776859504132,0.3372093023255814,0.8904109589041096,0.4943820224719101,0.38509316770186336,0.16359918200409,0.5454545454545454,0.45179063360881544,0.4377880184331797,0.5302013422818792,0.04106776180698152,0.12195121951219512,0.2896281800391389,0.7678571428571429,0.125
YTHDF1,0.6404494382022472,0.6216216216216216,0.5342205323193916,0.4843205574912892,0.3888888888888889,0.7781954887218046,0.14634146341463414,0.6703296703296703,0.4236842105263158,0.45579567779960706,0.38461538461538464,0.23,0.34782608695652173,0.010471204188481676,0.11545988258317025,0.3739612188365651,0.5616438356164384,0.621900826446281,0.18604651162790697,0.7436399217221135,0.3089887640449438,0.08695652173913043,0.09815950920245399,0.4743083003952569,0.5482093663911846,0.6682027649769585,0.3825503355704698,0.024640657084188913,0.08943089430894309,0.33268101761252444,0.8571428571428571,0.1125
YTHDF2,0.42696629213483145,0.3882063882063882,0.467680608365019,0.3867595818815331,0.7777777777777778,0.41541353383458646,0.14634146341463414,0.5,0.21842105263157896,0.27897838899803534,0.8153846153846154,0.2,0.17391304347826086,0.031413612565445025,0.38943248532289626,0.43490304709141275,0.4657534246575342,0.5475206611570248,0.3023255813953488,0.6536203522504892,0.37640449438202245,0.6335403726708074,0.10429447852760736,0.4426877470355731,0.4049586776859504,0.3617511520737327,0.348993288590604,0.012320328542094456,0.07317073170731707,0.2446183953033268,0.5357142857142857,0.3125
YTHDF3,0.550561797752809,0.6068796068796068,0.5817490494296578,0.3832752613240418,0.4166666666666667,0.5845864661654135,0.2926829268292683,0.6758241758241759,0.18947368421052632,0.6620825147347741,0.4153846153846154,0.2525,0.11594202898550725,0.1256544502617801,0.12133072407045009,0.5955678670360111,0.5870841487279843,0.6570247933884298,0.23255813953488372,0.6125244618395304,0.3651685393258427,0.15527950310559005,0.2985685071574642,0.43478260869565216,0.5564738292011019,0.6451612903225806,0.8389261744966443,0.02053388090349076,0.0975609756097561,0.3796477495107632,0.8035714285714286,0.625
YTHDC1,0.5056179775280899,0.44471744471744473,0.3821292775665399,0.3832752613240418,0.4166666666666667,0.37781954887218044,0.14634146341463414,0.6043956043956044,0.16578947368421051,0.4027504911591356,0.36923076923076925,0.1675,0.13043478260869565,0.041884816753926704,0.20743639921722112,0.44598337950138506,0.41291585127201563,0.6301652892561983,0.4186046511627907,0.6223091976516634,0.21348314606741572,0.10559006211180125,0.07770961145194274,0.40711462450592883,0.3856749311294766,0.4608294930875576,0.6845637583892618,0.014373716632443531,0.04878048780487805,0.2622309197651663,0.6607142857142857,0.0875
YTHDC2,0.7078651685393258,0.5675675675675675,0.438212927756654,0.3623693379790941,0.3888888888888889,0.41541353383458646,0.21951219512195122,0.5989010989010989,0.1631578947368421,0.46954813359528486,0.27692307692307694,0.5575,0.17028985507246377,0.09424083769633508,0.09980430528375733,0.4404432132963989,0.5851272015655578,0.8099173553719008,0.32558139534883723,0.6614481409001957,0.2247191011235955,0.10559006211180125,0.17177914110429449,0.43873517786561267,0.46005509641873277,0.4470046082949309,0.697986577181208,0.03490759753593429,0.0975609756097561,0.2896281800391389,0.5892857142857143,0.075
IGF2BP1,0.33707865168539325,0.4864864864864865,0.5247148288973384,0.29965156794425085,0.25,0.3684210526315789,0.17073170731707318,0.45054945054945056,0.22105263157894736,0.24361493123772102,0.7538461538461538,0.1275,0.6811594202898551,0.05235602094240838,0.07827788649706457,0.3739612188365651,0.5205479452054794,0.5330578512396694,0.32558139534883723,0.7338551859099804,0.25842696629213485,0.16149068322981366,0.08793456032719836,0.4268774703557312,0.465564738292011,0.37327188940092165,0.4429530201342282,0.039014373716632446,0.11382113821138211,0.30724070450097846,0.75,0.125
IGF2BP2,0.42696629213483145,0.5601965601965602,0.3688212927756654,0.7804878048780488,0.3888888888888889,0.2669172932330827,0.4146341463414634,0.7307692307692307,0.25263157894736843,0.730844793713163,0.2153846153846154,0.28,0.3695652173913043,0.020942408376963352,0.0821917808219178,0.2880886426592798,0.5401174168297456,0.9111570247933884,0.3023255813953488,0.8238747553816047,0.25280898876404495,0.577639751552795,0.1738241308793456,0.38735177865612647,0.36639118457300274,0.44930875576036866,0.4563758389261745,0.01026694045174538,0.08943089430894309,0.34637964774951074,0.75,0.55
IGF2BP3,0.6292134831460674,0.5085995085995086,0.435361216730038,0.2578397212543554,0.3055555555555556,0.6033834586466166,0.34146341463414637,0.7252747252747253,0.8210526315789474,0.4302554027504912,0.36923076923076925,0.32,0.605072463768116,0.09947643979057591,0.24070450097847357,0.3739612188365651,0.6105675146771037,0.640495867768595,0.29069767441860467,0.6203522504892368,0.3146067415730337,0.17391304347826086,0.22699386503067484,0.47035573122529645,0.6336088154269972,0.5391705069124424,0.8456375838926175,0.03490759753593429,0.13008130081300814,0.29158512720156554,0.6964285714285714,0.1
