geneSymbol,ACC,BLCA,BRCA,CESC,CHOL,COADREAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
METTL3,0.5056179775280899,0.4864864864864865,0.405893536121673,0.2578397212543554,0.4166666666666667,0.41353383458646614,0.07317073170731707,0.5714285714285714,0.35789473684210527,0.43418467583497056,0.3384615384615385,0.445,0.18840579710144928,0.015706806282722512,0.15459882583170254,0.32132963988919666,0.5244618395303327,0.640495867768595,0.45348837209302323,0.5362035225048923,0.2752808988764045,0.15527950310559005,0.08997955010224949,0.5059288537549407,0.418732782369146,0.3709677419354839,0.47651006711409394,0.024640657084188913,0.13008130081300814,0.21526418786692758,0.7142857142857143,0.05
METTL14,0.5393258426966292,0.4619164619164619,0.3906844106463878,0.4076655052264808,0.5277777777777778,0.3815789473684211,0.12195121951219512,0.6208791208791209,0.1763157894736842,0.3948919449901768,0.35384615384615387,0.1825,0.13405797101449277,0.031413612565445025,0.2191780821917808,0.4626038781163435,0.41487279843444225,0.6652892561983471,0.45348837209302323,0.7553816046966731,0.21348314606741572,0.09316770186335403,0.1165644171779141,0.4189723320158103,0.3856749311294766,0.4308755760368664,0.7315436241610739,0.014373716632443531,0.04878048780487805,0.2172211350293542,0.7321428571428571,0.1
METTL16,0.48314606741573035,0.6117936117936118,0.6473384030418251,0.4146341463414634,0.4166666666666667,0.6127819548872181,0.3170731707317073,0.6098901098901099,0.21842105263157896,0.3614931237721022,0.7538461538461538,0.145,0.644927536231884,0.07853403141361257,0.0821917808219178,0.6260387811634349,0.6203522504892368,0.7355371900826446,0.3372093023255814,0.837573385518591,0.550561797752809,0.39751552795031053,0.20040899795501022,0.5889328063241107,0.46005509641873277,0.45161290322580644,0.5503355704697986,0.04106776180698152,0.13008130081300814,0.27788649706457924,0.7857142857142857,0.1375
WTAP,0.38202247191011235,0.547911547911548,0.46482889733840305,0.4076655052264808,0.75,0.2894736842105263,0.3170731707317073,0.46703296703296704,0.3078947368421053,0.2907662082514735,0.7846153846153846,0.2925,0.12681159420289856,0.005235602094240838,0.16829745596868884,0.48476454293628807,0.5870841487279843,0.46487603305785125,0.4418604651162791,0.7651663405088063,0.5337078651685393,0.16149068322981366,0.13496932515337423,0.4308300395256917,0.6584022038567493,0.3709677419354839,0.31543624161073824,0.01642710472279261,0.17886178861788618,0.20743639921722112,0.5892857142857143,0.375
VIRMA,0.5617977528089888,0.6535626535626535,0.6368821292775665,0.4146341463414634,0.4166666666666667,0.5939849624060151,0.2682926829268293,0.7087912087912088,0.19210526315789472,0.6836935166994106,0.4153846153846154,0.24,0.12318840579710146,0.12041884816753927,0.1780821917808219,0.6371191135734072,0.6203522504892368,0.6673553719008265,0.23255813953488372,0.7123287671232876,0.398876404494382,0.16149068322981366,0.33537832310838445,0.49407114624505927,0.5426997245179064,0.652073732718894,0.8053691275167785,0.02053388090349076,0.10569105691056911,0.3679060665362035,0.7857142857142857,0.75
ZC3H13,0.5168539325842697,0.5257985257985258,0.5370722433460076,0.47038327526132406,0.5555555555555556,0.6560150375939849,0.21951219512195122,0.6428571428571429,0.4131578947368421,0.5324165029469549,0.6923076923076923,0.2175,0.18115942028985507,0.03664921465968586,0.2837573385518591,0.5235457063711911,0.639921722113503,0.762396694214876,0.5116279069767442,0.7553816046966731,0.2808988764044944,0.10559006211180125,0.47443762781186094,0.6837944664031621,0.4986225895316804,0.4838709677419355,0.7651006711409396,0.045174537987679675,0.12195121951219512,0.25440313111545987,0.7857142857142857,0.1125
RBM15,0.38202247191011235,0.35135135135135137,0.4667300380228137,0.36585365853658536,0.4166666666666667,0.32706766917293234,0.12195121951219512,0.5054945054945055,0.17105263157894737,0.30844793713163066,0.8153846153846154,0.1625,0.14492753623188406,0.010471204188481676,0.3933463796477495,0.3767313019390582,0.5322896281800391,0.5702479338842975,0.46511627906976744,0.4931506849315068,0.3202247191011236,0.7453416149068323,0.10633946830265849,0.383399209486166,0.4490358126721763,0.3317972350230415,0.436241610738255,0.014373716632443531,0.08943089430894309,0.15459882583170254,0.5535714285714286,0.275
FTO,0.6179775280898876,0.47665847665847666,0.7043726235741445,0.3344947735191638,0.3333333333333333,0.3101503759398496,0.2926829268292683,0.5384615384615384,0.21578947368421053,0.3948919449901768,0.38461538461538464,0.24,0.5471014492753623,0.02617801047120419,0.07632093933463796,0.4598337950138504,0.48140900195694714,0.5661157024793388,0.36046511627906974,0.7436399217221135,0.19662921348314608,0.06832298136645963,0.2556237218813906,0.6007905138339921,0.4380165289256198,0.38940092165898615,0.44966442953020136,0.030800821355236138,0.12195121951219512,0.29158512720156554,0.8035714285714286,0.225
ALKBH5,0.39325842696629215,0.5995085995085995,0.6140684410646388,0.41114982578397213,0.3888888888888889,0.6052631578947368,0.21951219512195122,0.6098901098901099,0.20789473684210527,0.3241650294695481,0.7538461538461538,0.14,0.644927536231884,0.07329842931937172,0.06262230919765166,0.5401662049861495,0.5909980430528375,0.7086776859504132,0.3372093023255814,0.8904109589041096,0.4887640449438202,0.38509316770186336,0.16155419222903886,0.5454545454545454,0.45179063360881544,0.43317972350230416,0.5302013422818792,0.04106776180698152,0.12195121951219512,0.27788649706457924,0.7678571428571429,0.125
YTHDF1,0.6404494382022472,0.6167076167076168,0.529467680608365,0.4808362369337979,0.3888888888888889,0.7725563909774437,0.14634146341463414,0.6703296703296703,0.41578947368421054,0.449901768172888,0.38461538461538464,0.2275,0.34782608695652173,0.010471204188481676,0.11350293542074363,0.3684210526315789,0.5577299412915852,0.6157024793388429,0.18604651162790697,0.7397260273972602,0.30337078651685395,0.08695652173913043,0.09611451942740286,0.4743083003952569,0.5344352617079889,0.6589861751152074,0.3825503355704698,0.024640657084188913,0.08943089430894309,0.30332681017612523,0.8571428571428571,0.1125
